n,identifier,prob_member,Otype,RA,RA_J2000,DE,DE_J2000,Sp_type
21,[BKM2008] HB12c10-1327l,25,*,04 30 52.0000,4.514444444,+14 26.7,14.445,~
22,HD 28608,100,*iC,04 30 57.1716,4.515881,+10 45 06.3729,10.75177025,F5
23,Cl* Melotte 25 LH 134,25,*iC,04 25 43.5700,4.428769444,+16 16 21.4,16.27261111,~
24,2MASS J04282241+1349219,75,LM?,04 28 22.4100,4.472891667,+13 49 22.0,13.82277778,~
25,Cl* Melotte 25 LH 72,25,*iC,04 31 03.5200,4.517644444,+17 29 40.9,17.49469444,~
26,[BKM2008] HC02c07-578l,25,*,04 22 28.0000,4.374444444,+17 43.9,17.73166667,~
27,2MASS J04345750+1428083,25,*,04 34 57.5000,4.582638889,+14 28 08.3,14.46897222,~
28,HD 28363,100,**,04 28 59.7714,4.483269833,+16 09 32.7481,16.15909669,F8
29,[BKM2008] HA1Ic09-735l,25,*,04 27 20.4000,4.455666667,+15 48 00,15.8,~
30,[BKM2008] HC15c10-170l,25,*,04 33 31.0000,4.558611111,+14 09.7,14.16166667,~
31,LP 15-640,100,PM*,04 30 46.7958,4.512998833,+16 08 55.3067,16.14869631,F2
32,HD 28069,100,*iC,04 25 57.3384,4.432594,+05 09 00.5164,5.150143444,F5
33,2MASS J04283012+1543077,25,*,04 28 30.1200,4.475033333,+15 43 07.7,15.71880556,~
34,[BKM2008] HA1Ic09-460l,25,*,04 27 16.5000,4.454583333,+15 45 33,15.75916667,~
35,* 55 Tau,100,*,04 19 54.8572,4.331904778,+16 31 21.3283,16.52259119,F9V
36,2MASS J04162161+1742486,25,*,04 16 21.6200,4.272672222,+17 42 48.6,17.7135,~
37,HD 28911,100,*iC,04 33 46.6421,4.562956139,+13 15 06.7808,13.25188356,F2
38,2MASS J04251419+1541079,25,*,04 25 14.2000,4.420611111,+15 41 08.0,15.68555556,~
39,LP 475-855,75,LM?,04 29 02.8700,4.484130556,+13 37 58.7,13.63297222,M7
40,[BKM2008] HC06c07-1993l,25,*,04 19 06.1000,4.318361111,+18 21 15,18.35416667,~
41,HD 27524,100,*iC,04 21 31.6495,4.358791528,+21 02 23.5618,21.03987828,F5V
42,HR 1436,100,*iC,04 32 04.8086,4.534669056,+05 24 36.1483,5.410041194,F5V
43,[BKM2008] HA8Ic00-3532l,25,*,04 23 50.0000,4.397222222,+16 50.2,16.83666667,~
44,Cl* Melotte 25 VA 241,0,*iC,04 22 32.7000,4.37575,+15 51 24.9,15.85691667,~
45,LP 414-158,75,LM?,04 18 33.8200,4.309394444,+18 21 52.9,18.36469444,~
46,2MASS J04311634+1500122,75,LM?,04 31 16.3500,4.521208333,+15 00 12.3,15.00341667,~
47,HD 27732,100,*iC,04 23 22.3299,4.389536083,+21 22 44.7503,21.37909731,G5
48,V* V997 Tau,100,BY*,04 32 59.4482,4.549846722,+15 49 08.292,15.81897,G5
49,Cl* Melotte 25 LH 182,25,*iC,04 22 39.1500,4.377541667,+16 57 50.4,16.964,~
50,[BKM2008] HB7Ic04-558l,25,*,04 22 14.2000,4.370611111,+15 31 18,15.52166667,~
51,2MASS J04235666+1838201,100,LM*,04 23 56.6700,4.399075,+18 38 20.2,18.63894444,~
52,HD 27771,100,*iC,04 23 32.3310,4.392314167,+14 40 13.7170,14.67047694,G5
53,[BKM2008] HC19c03-2076l,25,*,04 29 21.0000,4.489166667,+13 40.2,13.67,~
54,[BKM2008] HC10c10-1796l,25,*,04 18 27.0000,4.3075,+17 24.7,17.41166667,~
55,[BKM2008] HC13c00-520l,25,*,04 25 52.9000,4.431361111,+14 06 11,14.10305556,~
56,NAME PHI 342,100,*,04 25 37.3167,4.427032417,+15 56 27.6464,15.94101289,F7V
57,V* V938 Tau,100,BY*,04 34 35.3092,4.576474778,+15 30 16.6280,15.50461889,F8
58,[BKM2008] HC10c00-26l,25,*,04 16 36.5000,4.276805556,+17 43 26,17.72388889,~
59,Cl* Melotte 25 LH 138,25,*iC,04 25 39.3300,4.427591667,+17 23 03.3,17.38425,~
60,[BKM2008] HA11c07-803l,25,*,04 23 42.0000,4.395,+14 58.7,14.97833333,~
61,[BKM2008] HC18c10-169l,25,*,04 27 14.8000,4.454111111,+13 15 38,13.26055556,~
62,Cl* Melotte 25 DKJ 7334b,25,*iC,04 23 04.6900,4.384636111,+15 18 57.2,15.31588889,~
63,[BKM2008] HC15c09-213l,25,*,04 33 08.9000,4.552472222,+14 10 40,14.17777778,~
64,2MASS J04252314+1735150,25,*,04 25 23.1500,4.423097222,+17 35 15.0,17.5875,M8
65,Cl* Melotte 25 LH 162,25,*iC,04 23 57.0200,4.399172222,+16 32 45.9,16.54608333,~
66,V* V897 Tau,100,BY*,04 24 28.3245,4.407867917,+16 53 10.2003,16.88616675,G2V
67,V* V921 Tau,100,BY*,04 29 31.6068,4.492113,+17 53 35.4664,17.89318511,G5
68,LP 415-35,75,LM?,04 23 12.4600,4.386794444,+15 42 46.3,15.71286111,~
69,[BKM2008] HA13c08-1543l,25,*,04 29 11.8000,4.486611111,+14 59 46,14.99611111,~
70,[BKM2008] HA7Ic11-2242l,25,*,04 29 43.6000,4.495444444,+16 46 26,16.77388889,~
71,2MASS J04252726+1824220,25,*,04 25 27.2600,4.424238889,+18 24 22.0,18.40611111,~
72,Cl* Melotte 25 VA 273,25,*iC,04 23 25.8100,4.390502778,+17 53 45.7,17.89602778,~
73,[BKM2008] HA9Ic06-243s,25,*,04 27 04.7000,4.451305556,+15 24 29,15.40805556,~
74,[BKM2008] HC10c01-87l,25,*,04 16 50.2000,4.280611111,+17 42 55,17.71527778,~
75,V* V1116 Tau,100,dS*,04 36 29.1383,4.608093972,+23 20 27.0897,23.34085825,F5IV
76,Cl* Melotte 25 LH 169,25,*iC,04 23 27.7000,4.391027778,+17 02 27,17.04083333,~
77,[BKM2008] HA12c07-101l,25,*,04 26 12.8000,4.436888889,+14 50 29,14.84138889,~
78,[BKM2008] HB3Ic11-684l,25,*,04 23 46.7000,4.396305556,+16 53 39,16.89416667,~
79,Cl* Melotte 25 LH 111,25,*iC,04 27 18.7000,4.455194444,+13 55 07.8,13.91883333,~
80,[BKM2008] HA3Ic01-1181l,25,*,04 23 08.3000,4.385638889,+16 29 30,16.49166667,~
81,HR 1279,100,**,04 07 41.9834,4.128328722,+15 09 46.0260,15.162785,F3V
82,HD 27561,100,*iC,04 21 34.7950,4.359665278,+14 24 35.2361,14.40978781,F5V
83,[BKM2008] HC15c00-530l,25,*,04 31 28.7000,4.524638889,+14 35 13,14.58694444,~
84,[BKM2008] HB7Ic11-770l,25,*,04 22 40.2000,4.377833333,+15 12 50,15.21388889,~
85,HD 27685,100,*iC,04 22 44.7647,4.379101306,+16 47 27.6645,16.79101792,G4V
86,* del Tau,100,*i*,04 22 56.0925,4.382247917,+17 32 33.0487,17.54251353,K0III
87,[BKM2008] HC02c11-341l,25,*,04 24 42.3000,4.41175,+17 41 52,17.69777778,~
88,HR 1201,100,*iC,03 53 10.0463,3.886123972,+17 19 37.5010,17.32708361,F4V
89,HD 26345,100,*iC,04 10 42.3640,4.178434444,+18 25 23.7108,18.423253,F6V
90,HD 26784,100,*iC,04 14 34.3404,4.242872333,+10 42 04.9715,10.70138097,F8V
91,HD 28406,100,*i*,04 29 30.3507,4.491764083,+17 51 47.3860,17.86316278,F8
92,Cl* Melotte 25 LH 71,25,*iC,04 31 12.4100,4.520113889,+17 09 42.4,17.16177778,~
93,HD 26756,100,*iC,04 14 25.6507,4.240458528,+14 37 30.1249,14.62503469,G5V
94,2MASS J04263219+1800280,25,*,04 26 32.2000,4.442277778,+18 00 28.0,18.00777778,~
95,Cl* Melotte 25 LH 78,25,*iC,04 30 41.8500,4.511625,+17 19 42.8,17.32855556,~
96,[BKM2008] HB15c00-4l,25,*,04 32 09.9000,4.536083333,+16 03 28,16.05777778,~
97,[BKM2008] HB17c08-2177l,25,*,04 31 18.0000,4.521666667,+16 49.6,16.82666667,~
98,* 61 Ori,100,*,06 02 22.9967,6.039721306,+09 38 50.1820,9.647272778,~
99,[BKM2008] HB7Ic10-1289l,25,*,04 22 35.3000,4.376472222,+15 15 24,15.25666667,~
100,2MASS J04360314+1435369,25,*,04 36 03.1500,4.600875,+14 35 37.0,14.59361111,~
101,[BKM2008] HA10c04-641l,25,*,04 25 24.0000,4.423333333,+15 39.7,15.66166667,~
102,LP 415-367,75,LM?,04 23 01.4900,4.383747222,+15 13 41.6,15.22822222,~
103,[BKM2008] HB2Ic08-992l,25,*,04 27 01.8000,4.4505,+17 44 54,17.74833333,~
104,[BKM2008] HB2Ic07-287l,25,*,04 26 50.2000,4.447277778,+17 39 30,17.65833333,~
105,HD 30738,100,*,04 50 48.5431,4.846817528,+16 12 37.6201,16.21045003,F8
106,* 45 Tau,100,*i*,04 11 20.2816,4.188967111,+05 31 22.9778,5.523049389,F4V
107,[BKM2008] HA7Ic07-180l,25,*,04 27 34.0000,4.459444444,+16 37.2,16.62,~
108,* eps Tau,100,*,04 28 36.9988,4.476944111,+19 10 49.5446,19.18042906,K0III
109,Cl* Melotte 25 LH 246,25,*iC,04 16 58.8800,4.283022222,+17 06 09.9,17.10275,~
110,2MASS J04220448+1639453,25,*,04 22 04.4800,4.367911111,+16 39 45.4,16.66261111,~
111,[BKM2008] HC09c11-32s,25,*,04 18 21.4000,4.305944444,+16 51 34,16.85944444,~
112,Cl* Melotte 25 VA 562,25,*iC,04 29 59.1540,4.499765,+16 03 01.23,16.05034167,~
113,Cl* Melotte 25 CFHT 21,75,LM?,04 29 22.7000,4.489638889,+15 35 29,15.59138889,~
114,HD 28033,100,*,04 26 18.4976,4.438471556,+21 28 13.5452,21.47042922,F8V
115,[BKM2008] HB8Ic08-171l,25,*,04 21 17.2000,4.354777778,+14 26 54,14.44833333,~
116,* 77 Tau,100,*,04 28 34.4960,4.476248889,+15 57 43.8494,15.96218039,K0IIIb
117,V* V1099 Tau,100,El*,04 15 46.2845,4.262856806,+15 24 02.5048,15.40069578,F5V
118,2MASS J04172478+1634364,75,BD*,04 17 24.7870,4.290218611,+16 34 36.48,16.5768,M8
119,2MASS J04304258+1439416,75,LM?,04 30 42.5900,4.511830556,+14 39 41.6,14.66155556,~
120,2MASS J04342103+1451171,75,LM?,04 34 21.0400,4.572511111,+14 51 17.2,14.85477778,~
121,[BKM2008] HA7Ic02-927l,25,*,04 28 11.9000,4.469972222,+16 57 33,16.95916667,~
122,[BKM2008] HB12c02-1504l,25,*,04 29 45.8000,4.496055556,+14 39 10,14.65277778,~
123,[BKM2008] HB13c09-22s,25,*,04 32 25.8000,4.5405,+14 35 44,14.59555556,~
124,[BKM2008] HB9Ic07-234l,25,*,04 23 27.0000,4.390833333,+14 17.4,14.29,~
125,[BKM2008] HB6Ic09-322l,25,*,04 21 53.4000,4.364833333,+15 32 27,15.54083333,~
126,* gam Tau,100,V*,04 19 47.6039,4.329889972,+15 37 39.5154,15.62764317,K0III
127,2MASS J04221413+1530525,25,BD*,04 22 14.1320,4.370592222,+15 30 52.52,15.51458889,M6:
128,[BKM2008] HB13c07-1564l,25,*,04 31 15.5000,4.520972222,+14 43 56,14.73222222,~
129,HD 28394,100,*,04 29 20.5536,4.489042667,+17 32 41.7705,17.54493625,G0
130,[BKM2008] HB13c11-245l,25,*,04 33 25.4000,4.557055556,+14 36 28,14.60777778,~
131,[BKM2008] HA9Ic02-266l,25,*,04 28 27.5000,4.474305556,+15 42 23,15.70638889,~
132,[BKM2008] HB18c03-2563l,25,*,04 31 17.0000,4.521388889,+17 18.5,17.30833333,~
133,LP 415-67,75,LM?,04 25 16.5200,4.421255556,+16 18 08.6,16.30238889,~
134,Cl* Melotte 25 CFHT 20,75,LM?,04 30 38.7000,4.51075,+13 09 57,13.16583333,~
135,LP 414-2008,75,LM?,04 17 32.2400,4.292288889,+16 56 59.1,16.94975,~
136,[BKM2008] HB9Ic09-490l,25,*,04 24 49.0000,4.413611111,+14 18.5,14.30833333,~
137,[BKM2008] HA1Ic07-930l,25,*,04 26 05.2000,4.434777778,+15 49 26,15.82388889,~
138,[BKM2008] HB1Ic03-1536l,25,*,04 26 20.8000,4.439111111,+17 28 22,17.47277778,~
139,2MASS J04291995+1419368,25,*,04 29 19.9500,4.488875,+14 19 36.8,14.32688889,~
140,HR 1233,100,*iC,03 59 40.4983,3.994582861,+10 19 49.4209,10.33039469,F5V
141,2MASS J04262583+1545029,25,AB*,04 26 25.8310,4.440508611,+15 45 02.96,15.75082222,~
142,2MASS J04285859+1517386,25,*,04 28 58.5900,4.482941667,+15 17 38.6,15.29405556,~
143,[BKM2008] HA6Ic01-2048l,25,*,04 29 20.0000,4.488888889,+16 29.8,16.49666667,~
144,2MASS J04204957+1553323,25,*,04 20 49.5700,4.347102778,+15 53 32.3,15.89230556,~
145,V* V984 Tau,100,BY*,04 16 33.4779,4.275966083,+21 54 26.8946,21.90747072,G5
146,HD 23261,100,*iC,03 43 54.3405,3.73176125,+03 26 46.875,3.446354167,G5
147,LP 415-142,75,LM?,04 30 04.2000,4.501166667,+16 04 06,16.06833333,~
148,2MASS J04174112+1701150,25,*,04 17 41.1200,4.294755556,+17 01 15.0,17.02083333,~
149,V* V920 Tau,100,BY*,04 28 48.2971,4.480082528,+17 17 07.6666,17.28546294,G2V
150,[LHD94] 042434.9+140029,75,LM?,04 27 23.8000,4.456611111,+14 07 06.6,14.1185,~
151,HD 27731,100,*iC,04 23 30.4008,4.391778,+24 24 19.4522,24.40540339,F5
152,[BKM2008] HA5Ic01-385l,25,*,04 29 34.0000,4.492777778,+16 07.4,16.12333333,~
154,2MASS J04174850+1655589,25,*,04 17 48.5000,4.296805556,+16 55 58.9,16.93302778,~
155,2MASS J04303535+1445320,25,*,04 30 35.3500,4.509819444,+14 45 32.0,14.75888889,~
156,[BKM2008] HC21c11-74l,25,*,04 36 46.1000,4.612805556,+14 19 37,14.32694444,~
157,[BKM2008] HC06c02-152l,25,*,04 19 22.0000,4.322777778,+18 34.7,18.57833333,~
158,HD 29225,100,*iC,04 36 40.7226,4.611311833,+15 52 09.5861,15.86932947,F8
159,Cl* Melotte 25 VA 477,25,*iC,04 28 14.2000,4.470611111,+16 58 00,16.96666667,~
160,LP 475-56,75,LM?,04 24 31.5000,4.40875,+13 55 41,13.92805556,~
162,[BKM2008] HC14c01-607l,25,*,04 29 22.7000,4.489638889,+14 19 10,14.31944444,~
163,V* V992 Tau,100,BY*,04 26 05.8601,4.434961139,+15 31 27.600,15.52433333,G0
164,HD 30810,100,*,04 51 12.5335,4.853481528,+11 04 04.8862,11.06802394,F6V
165,2MASS J04190576+1734235,75,LM?,04 19 05.7700,4.318269444,+17 34 23.5,17.57319444,~
166,[BKM2008] HB7Ic04-1273l,25,*,04 22 19.2000,4.372,+15 25 54,15.43166667,~
167,[BKM2008] HC24c02-487s,25,*,04 35 10.4000,4.586222222,+14 12 51,14.21416667,~
168,Cl* Melotte 25 HAN 393,25,*iC,04 26 53.3200,4.448144444,+17 36 49.2,17.61366667,~
169,[BKM2008] HC03c04-2872l,25,*,04 26 06.5000,4.435138889,+18 20 25,18.34027778,~
170,LP 19-731,100,PM*,04 30 17.9716,4.504992111,+19 50 26.0745,19.84057625,F5
171,* 101 Tau,100,*i*,04 59 44.3224,4.995645111,+15 55 00.2363,15.91673231,F5V
172,HD 27848,100,*iC,04 24 22.2714,4.4061865,+17 04 44.2289,17.07895247,F8
173,[BKM2008] HB17c06-999l,25,*,04 30 13.2000,4.503666667,+16 43 09,16.71916667,~
174,[BKM2008] HB4Ic08-756l,25,*,04 21 04.7000,4.351305556,+16 22 45,16.37916667,~
176,HD 27808,100,*iC,04 24 14.5743,4.404048417,+21 44 10.4811,21.73624475,F8V
177,[BKM2008] HB17c07-1416l,25,*,04 30 29.7000,4.50825,+16 44 45,16.74583333,~
178,HD 20439,100,*iC,03 17 32.7814,3.292439278,+07 41 24.5557,7.690154361,G0
179,[BKM2008] HA2Ic04-474l,25,*,04 27 22.0000,4.456111111,+16 34.2,16.57,~
180,V* V985 Tau,100,BY*,04 18 19.2722,4.305353389,+16 05 18.0306,16.08834183,K0
181,LP 475-9,75,LM?,04 20 56.0500,4.348902778,+14 51 34.6,14.85961111,~
182,V* V911 Tau,100,BY*,04 26 40.1215,4.444478194,+16 44 48.8394,16.74689983,G2V
